	Astrocyte	Astrocyte,Neurons	Astrocyte,Oligos	Blood	Immune	Neurons	Neurons,Cycling	Neurons,Oligos	Oligos	Vascular	dummy
Spotx49	0.13103281	0.056932718	0.19869415	0.17672262	5.228145e-10	5.228883e-10	0.29203773	5.2275567e-10	0.14443086	5.228195e-10	0.00014913327
Spotx50	0.046903096	1.0579055e-09	0.24309708	1.0574053e-09	0.16098945	1.0577077e-09	1.0579155e-09	1.0576513e-09	0.035174813	0.51383555	1.0575786e-09
Spotx51	0.07688559	0.20362656	0.07052481	0.14699033	4.275315e-10	0.26064497	0.15885471	4.2758286e-10	4.2743611e-10	0.07898424	0.0034888166
Spotx52	7.22335e-10	0.24485983	0.09219981	7.222621e-10	7.223475e-10	0.1847949	0.08355977	7.2239714e-10	0.19656609	0.19801965	7.219963e-10
Spotx53	5.2184423e-10	0.7338986	0.07545538	5.219119e-10	5.2171883e-10	0.051220797	0.012608896	0.061596923	0.058158405	5.219169e-10	0.0070611155
Spotx54	0.10021085	0.2810103	5.808852e-10	0.05360253	0.0828668	5.8101257e-10	5.8069133e-10	0.0421881	0.41907662	5.807245e-10	0.021044841
Spotx55	0.18386598	5.467306e-10	0.25121605	0.22638664	5.467629e-10	5.4657423e-10	0.027612498	5.465815e-10	0.31091884	5.4651683e-10	5.467661e-10
Spotx56	5.502372e-10	5.5023514e-10	5.502341e-10	5.5022775e-10	0.3149802	5.504713e-10	0.22127643	5.503411e-10	0.46374333	5.5034527e-10	5.5036736e-10
Spotx57	0.27319422	0.5627978	4.1478265e-09	4.1484673e-09	0.09361318	0.06190039	0.0041121696	4.1486095e-09	4.1486174e-09	4.147518e-09	0.0043822774
Spotx58	0.071059085	4.0942674e-10	0.019464618	0.28809738	4.0932524e-10	4.0943923e-10	0.19743949	4.09205e-10	0.39904523	0.024894211	4.0937442e-10
Spotx59	0.06309674	0.072937846	0.018369867	3.8864623e-10	3.8865144e-10	0.077697136	0.14415357	0.25626135	0.35932928	3.8864034e-10	0.00815414
Spotx60	7.599005e-10	7.5977724e-10	7.5994533e-10	0.078536466	0.11521062	7.5984824e-10	7.600106e-10	0.29809093	0.37139842	0.1342907	0.002472826
Spotx61	0.0035443723	7.511295e-10	0.07774911	0.094657265	7.513544e-10	7.513816e-10	0.24621512	0.17934798	0.3529996	0.03497626	0.010510265
Spotx62	5.238409e-10	0.30568716	5.2375404e-10	5.238789e-10	5.23763e-10	0.29961088	5.2372806e-10	0.28263107	0.09866342	5.238539e-10	0.01340759
Spotx63	1.2504098e-09	0.024933686	1.2503121e-09	0.2746805	1.2508679e-09	0.0045731626	0.14887269	1.25051e-09	0.5403626	1.250355e-09	0.0065773907
Spotx64	4.3292725e-10	4.3307014e-10	4.3296855e-10	4.3297682e-10	4.3290083e-10	4.3304452e-10	0.07666695	4.330313e-10	0.91920197	4.3309822e-10	0.0041310955
Spotx65	0.12963848	0.08464426	0.20226347	7.845304e-10	0.053361356	7.8461565e-10	0.2256726	0.028029773	0.16699848	0.106978886	0.002412716
Spotx66	0.041500054	0.30533323	6.0531363e-10	6.0426736e-10	6.0442185e-10	0.11898348	6.0408756e-10	0.045774188	0.46005946	6.043411e-10	0.028349552
Spotx67	0.06634495	6.3450056e-10	6.34134e-10	0.3996201	0.4628482	6.342307e-10	0.029192625	6.3449324e-10	6.3423444e-10	0.041994106	6.3445826e-10
Spotx68	6.533023e-10	0.0069169276	6.5300204e-10	0.15285142	0.012924856	0.36964473	6.531864e-10	0.15651667	0.28506982	6.531166e-10	0.01607558
