"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Neurons_Cycling","log2fold_change","Auc"
"42","Gstm5","hurdle",3.92497537698081e-06,-0.04327692,0.70656582,0.74984274,0.644
"9","Atp5j2","hurdle",4.29057022237999e-05,1.15766,1.699967,0.542307,0.643
"162","Scg5","hurdle",2.46018317090272e-08,-0.4452564,0.2450166,0.690273,0.642
"81","Pcp4","hurdle",4.15783040874172e-07,0.6900195,1.8941469,1.2041274,0.639
"16","Cfl1","hurdle",9.98997980256001e-05,1.414204,1.95479,0.540586,0.637
"70","Ndufc1","hurdle",0.000170059725846854,0.9321544,1.4755265,0.5433721,0.636
"33","Eif3h","hurdle",4.56129708083421e-05,0.1264399,0.788819,0.6623791,0.636
"78","Paip2","hurdle",4.65913540099826e-05,0.02583283,0.67807191,0.65223908,0.635
"184","Vapa","hurdle",2.2523656747327e-05,-0.327749,0.5264951,0.8542441,0.632
"34","Eif3k","hurdle",0.000115162747100566,0.1665984,0.8152266,0.6486282,0.632
"3","Arl6ip1","hurdle",3.82768880852505e-10,-0.2285346,1.28083,1.5093646,0.63
"84","Pkig","hurdle",8.49229627917947e-05,0.09745972,0.64900386,0.55154414,0.629
"164","Sec61b","hurdle",0.000124394614543677,-0.003236558,0.725253842,0.7284904,0.626
"59","Med28","hurdle",0.000140746877398305,0.01787202,0.77094148,0.75306946,0.624
"117","Rpl30","hurdle",0.000523265717551438,0.9005726,1.4755265,0.5749539,0.619
"36","Eif5","hurdle",0.000668934517167842,0.1889275,0.7799079,0.5909804,0.618
"179","Tspan3","hurdle",0.000844219913339659,0.5144317,1.1347103,0.6202786,0.616
"171","Srrm2","hurdle",0.000865567633798357,0.228269,0.8497012,0.6214322,0.613
"4","Atp5a1","hurdle",0.000889693166835414,0.1764658,0.8916674,0.7152016,0.612
"15","Cd9","hurdle",0.000645279818729098,-0.04223624,0.49417046,0.5364067,0.61
"68","Ndufb7","hurdle",0.00170690807964856,0.120876,0.7065658,0.5856898,0.609
"1","Ap2m1","hurdle",0.00100132448151376,-0.009324744,0.49417046,0.503495204,0.608
"57","Mdh1","hurdle",0.00061997644797435,-0.2332772,0.4386326,0.6719098,0.602
